symbol,direction,strategy,entry_price,exit_price,quantity,pnl,pnl_pct,entry_time,exit_time,score,profit_target,exit_reason
BALPHARMA,SHORT,Multi-Indicator,77.04000091552734,79.0,43,-84.27996063232422,-0.02544131699351551,2026-07-06 09:15:12.395208,2026-07-06 09:16:38.900215,90,0.025,[STOP] 📉 SHORT Loss (-2.54%)
AEROFLEX,SHORT,Multi-Indicator,456.25,466.25,17,-170.0,-0.021917808219178082,2026-07-06 09:15:12.389300,2026-07-06 09:36:07.026863,90,0.025,[STOP] 📉 SHORT Loss (-2.19%)
BANARBEADS,SHORT,Multi-Indicator,99.4000015258789,102.8499984741211,21,-72.44993591308594,-0.03470821826239084,2026-07-06 09:36:50.834106,2026-07-06 09:37:35.516609,100,0.025,[STOP] 📉 SHORT Loss (-3.47%)
AMBUJACEM,LONG,Multi-Indicator,443.6499938964844,440.95001220703125,14,-37.79974365234375,-0.006085837319053597,2026-07-06 09:15:12.389300,2026-07-06 10:45:42.546124,90,0.025,[TIME] Exit with Loss (-0.61%)
AYE,SHORT,Multi-Indicator,175.0,173.41000366210938,29,46.109893798828125,0.009085693359375,2026-07-06 09:15:12.395208,2026-07-06 10:45:42.674851,90,0.025,[TIME] Exit with Profit (0.91%)
BALAJITELE,LONG,Multi-Indicator,91.0,90.19000244140625,46,-37.2598876953125,-0.008901072072458792,2026-07-06 09:15:12.395208,2026-07-06 10:45:42.962778,90,0.025,[TIME] Exit with Loss (-0.89%)
BANDHANBNK,LONG,ORB,204.86000061035156,204.72000122070312,16,-2.239990234375,-0.0006833905556542469,2026-07-06 09:17:22.414963,2026-07-06 10:48:03.231792,100,0.025,[TIME] Exit with Loss (-0.07%)
AGRITECH,LONG,Multi-Indicator,119.8499984741211,115.0199966430664,49,-236.6700897216797,-0.040300391260310424,2026-07-06 10:46:29.239554,2026-07-06 10:49:33.799377,90,0.025,[STOP] 📈 LONG Loss (-4.03%)
CPEDU,SHORT,Multi-Indicator,201.05999755859375,205.25,23,-96.37005615234375,-0.02083956277869337,2026-07-06 10:46:29.239554,2026-07-06 11:31:52.758935,90,0.025,[STOP] 📉 SHORT Loss (-2.08%)
BHAGCHEM,LONG,Multi-Indicator,292.0,287.70001220703125,25,-107.49969482421875,-0.014725985592358734,2026-07-06 10:46:29.230498,2026-07-06 12:16:52.400102,95,0.025,[TIME] Exit with Loss (-1.47%)
ABFRL,LONG,Multi-Indicator,62.66999816894531,62.47999954223633,60,-11.399917602539062,-0.0030317318056526424,2026-07-06 10:46:29.239554,2026-07-06 12:16:52.642902,90,0.025,[TIME] Exit with Loss (-0.30%)
BATLIBOI,LONG,Multi-Indicator,84.0999984741211,83.9000015258789,21,-4.1999359130859375,-0.0023780850400815373,2026-07-06 10:48:49.265989,2026-07-06 12:18:53.871713,100,0.025,[TIME] Exit with Loss (-0.24%)
